,Unnamed: 0,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
323,344,1,4,36.0,2592,1,1,3,3,0,4,0,10,2,2,4,5,5,3,1976,1976,1,1,4,5,2,0.0,3,3,1,2,4,3,5,129,1,232,175,536,1,4,1,4,536,576,0,1112,0,0,1,1,3,1,3,4,6,0,3,1,1976.0,2,1,336,4,4,2,182,0,0,0,0,0,3,4,1,0,0,2010,8,4,85000
324,345,8,3,65.0,6435,1,1,3,3,0,4,0,3,6,2,0,0,6,5,1939,1950,1,1,7,8,2,0.0,3,3,0,4,4,3,6,0,6,0,972,972,1,2,1,4,972,605,0,1577,0,0,1,0,3,1,1,6,6,1,2,5,1939.0,2,1,312,4,4,2,0,0,0,0,0,0,3,4,1,0,10,2006,8,4,140200
325,346,4,3,0.0,12772,1,1,0,3,0,1,0,12,2,2,0,2,6,8,1960,1998,3,1,7,8,2,0.0,3,2,1,4,4,2,1,498,6,0,460,958,1,4,1,4,958,0,0,958,0,0,1,0,2,1,3,5,6,0,3,1,1960.0,1,1,301,4,4,2,0,0,0,0,0,0,3,4,0,15500,0,2007,8,4,151500
326,347,4,3,0.0,17600,1,1,0,3,0,4,0,12,2,2,0,2,6,5,1960,1960,1,1,12,14,1,30.0,3,3,1,4,4,3,1,1270,6,0,208,1478,1,0,1,0,1478,0,0,1478,1,0,2,0,3,1,3,6,6,2,2,1,1960.0,2,2,498,4,4,2,0,40,0,0,0,0,3,4,1,0,2,2009,8,4,157500
327,348,1,3,36.0,2448,1,1,3,3,0,4,0,16,2,2,3,5,7,5,2003,2004,1,1,11,15,3,106.0,2,3,2,2,4,3,2,573,6,0,191,764,1,0,1,4,764,862,0,1626,1,0,2,1,2,1,2,6,6,0,3,3,2003.0,1,2,474,4,4,2,0,27,0,0,0,0,3,4,1,0,10,2008,8,4,154000
328,349,9,3,56.0,20431,1,1,1,3,0,4,0,16,2,2,0,5,9,5,2005,2006,3,1,4,5,1,870.0,0,3,2,0,4,3,2,1410,6,0,438,1848,1,0,1,4,1848,880,0,2728,1,0,2,1,4,1,0,10,6,2,0,1,2006.0,0,3,706,4,4,2,0,0,0,0,0,0,3,4,1,0,0,2006,6,5,437154
329,350,0,3,68.0,7820,1,1,0,3,0,4,0,16,2,2,4,2,9,5,2007,2007,3,1,7,8,1,362.0,0,3,2,0,4,3,6,0,6,0,1869,1869,1,0,1,4,1869,0,0,1869,0,0,2,0,2,1,0,6,6,1,2,1,2007.0,1,2,617,4,4,2,210,54,0,0,0,0,3,4,1,0,2,2007,6,5,318061
330,351,0,3,0.0,5271,1,1,0,2,0,4,1,4,2,2,0,2,7,5,1986,1986,1,1,12,14,2,0.0,3,3,2,2,4,1,2,1082,6,0,371,1453,1,2,1,4,1453,0,0,1453,1,0,1,1,2,1,2,6,6,1,5,1,1986.0,1,2,445,4,4,2,0,80,0,0,184,0,3,4,1,0,2,2006,8,0,190000
331,352,8,3,60.0,9084,1,1,3,3,0,4,0,7,0,2,0,0,5,6,1941,1950,1,1,11,13,2,0.0,3,3,1,4,0,2,3,236,5,380,0,616,1,4,0,4,616,495,0,1111,0,1,1,0,3,1,3,5,6,0,3,5,1941.0,2,1,200,4,1,2,48,0,0,0,0,0,3,4,1,0,7,2008,5,4,95000
332,353,5,4,60.0,8520,1,1,3,3,0,4,0,17,2,2,0,2,6,8,1928,2003,1,1,11,13,2,0.0,3,2,0,4,4,3,6,0,6,0,624,624,1,2,1,4,720,0,0,720,0,0,1,0,2,1,3,5,6,0,3,5,2005.0,2,2,484,4,4,2,106,0,0,0,0,0,3,4,1,0,8,2010,8,4,105900
333,354,8,3,60.0,8400,1,1,3,0,0,4,0,18,2,2,0,0,6,5,1940,2000,1,1,12,8,2,0.0,3,3,1,4,4,3,3,388,6,0,552,940,1,0,1,4,1192,403,0,1595,0,0,1,0,2,1,3,6,6,2,2,1,1940.0,2,1,240,4,4,2,0,0,108,0,0,0,3,4,1,0,6,2006,8,4,140000
334,355,4,3,105.0,11249,1,1,1,3,0,4,0,5,2,2,0,2,6,5,1995,1995,1,1,11,13,2,0.0,2,2,2,2,1,3,0,334,1,544,322,1200,1,0,1,4,1200,0,0,1200,1,0,2,0,3,1,2,6,6,0,3,1,1995.0,1,2,521,4,4,2,0,26,0,0,0,0,3,4,1,0,1,2007,8,4,177500
335,356,4,3,0.0,9248,1,1,0,3,0,4,0,8,2,2,0,2,6,6,1992,1992,1,1,5,6,1,106.0,3,3,2,2,4,3,2,560,6,0,598,1158,1,2,1,4,1167,0,0,1167,1,0,2,0,3,1,2,6,6,0,3,1,1992.0,1,2,400,4,4,2,120,26,0,0,0,0,3,4,1,0,5,2009,8,4,173000
336,357,0,4,44.0,4224,1,1,3,3,0,4,0,10,2,2,4,2,5,5,1976,1976,1,1,4,5,2,0.0,3,3,2,2,4,3,0,874,6,0,268,1142,1,4,1,4,1142,0,0,1142,1,0,1,1,3,1,3,6,6,1,4,1,1976.0,0,2,528,4,4,2,536,90,0,0,0,0,3,2,1,0,1,2007,8,4,134000
337,358,12,3,92.0,6930,1,1,0,3,0,4,0,4,2,2,0,7,5,4,1958,1958,3,1,12,7,1,120.0,3,3,1,4,4,0,1,300,5,294,468,1062,1,0,1,1,1352,0,0,1352,0,1,1,0,3,1,2,6,3,0,3,3,1958.0,2,1,288,4,4,2,168,0,294,0,0,0,3,4,1,0,5,2006,8,0,130000
338,359,9,3,78.0,12011,1,1,0,3,0,1,0,15,2,2,0,5,8,5,1998,1998,1,1,11,13,1,530.0,2,3,2,2,4,0,2,956,6,0,130,1086,1,0,1,4,1086,838,0,1924,1,0,2,1,3,1,2,7,6,1,5,1,1998.0,1,2,592,4,4,2,208,75,0,0,374,0,3,4,1,0,6,2006,8,4,280000
339,360,13,3,0.0,7540,1,1,0,3,0,1,0,11,2,2,0,6,6,6,1978,1978,1,1,11,13,2,0.0,3,3,1,2,4,0,2,773,6,0,115,888,1,0,1,4,912,0,0,912,1,0,1,0,2,1,3,5,6,1,5,1,1978.0,1,2,470,4,4,2,0,0,0,0,192,0,3,2,1,0,6,2007,8,4,156000
340,361,8,3,0.0,9144,1,2,3,3,0,4,0,3,2,2,0,0,5,5,1940,1982,1,1,7,8,2,0.0,3,3,1,4,4,3,5,399,6,0,484,883,1,2,1,4,988,517,0,1505,1,0,1,0,3,1,3,8,6,0,3,5,1940.0,2,1,240,4,4,0,0,0,0,0,0,0,3,4,1,0,5,2008,8,4,145000
341,362,13,3,64.0,7301,1,1,3,3,0,0,0,7,2,2,0,6,7,5,2003,2003,1,1,5,6,1,500.0,2,3,3,3,2,3,4,0,4,0,0,0,1,0,1,4,495,1427,0,1922,0,0,3,0,4,1,2,7,6,1,0,3,2003.0,1,2,672,4,4,2,0,0,177,0,0,0,3,4,1,0,5,2009,3,4,198500
342,363,1,4,21.0,1680,1,1,3,3,0,4,0,2,2,2,3,5,6,8,1972,2007,1,1,5,6,1,510.0,3,3,1,4,4,3,0,162,6,0,321,483,1,2,1,4,483,504,0,987,0,0,1,1,2,1,2,5,6,0,3,5,1972.0,2,1,264,4,4,2,250,0,0,0,0,0,3,4,1,0,8,2009,8,4,118000
343,364,9,3,0.0,18800,1,1,0,3,0,2,0,14,2,2,0,5,6,5,1976,1976,1,1,5,6,1,120.0,3,3,2,2,4,2,2,712,6,0,84,796,1,4,1,4,790,784,0,1574,1,0,2,1,3,1,3,6,6,1,5,1,1976.0,0,2,566,4,4,2,306,111,0,0,0,0,3,4,1,0,5,2006,8,4,190000
344,365,10,4,59.0,10690,1,1,3,3,0,4,0,9,2,2,0,5,5,7,1920,1997,3,1,11,13,2,0.0,3,2,1,4,0,3,5,456,6,0,216,672,1,2,1,0,672,672,0,1344,0,0,1,0,3,1,3,6,6,0,3,5,1964.0,2,1,468,4,1,2,0,128,218,0,0,0,3,4,1,0,5,2009,8,4,147000
345,366,4,3,0.0,9500,1,1,0,3,0,4,0,12,2,2,0,2,6,5,1963,1963,1,1,8,10,1,247.0,3,3,1,2,4,3,1,609,6,0,785,1394,1,2,1,4,1394,0,0,1394,1,0,1,1,3,1,3,6,6,2,2,1,1963.0,1,2,514,4,4,2,0,76,0,0,185,0,3,4,1,0,5,2009,8,4,159000
346,367,12,3,101.0,9150,1,1,0,3,0,0,0,12,2,2,0,7,6,5,1962,1962,1,5,8,10,1,305.0,3,3,1,2,4,1,2,371,6,0,728,1099,1,2,1,4,1431,0,0,1431,0,1,1,0,3,1,3,6,6,1,2,2,1962.0,1,1,296,4,4,2,64,110,0,0,0,0,3,4,1,0,2,2008,8,4,165000
347,368,4,3,78.0,7800,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1954,1954,1,1,5,6,1,200.0,3,3,2,4,4,3,3,540,6,0,728,1268,1,2,1,4,1268,0,0,1268,0,0,1,0,2,1,3,7,6,1,2,1,1954.0,0,1,244,4,4,2,0,98,0,0,0,0,3,4,1,0,7,2010,8,4,132000
348,369,4,3,0.0,9830,1,1,0,3,0,0,0,12,2,2,0,2,5,7,1959,2006,1,1,12,14,2,0.0,3,2,1,4,4,3,0,72,5,258,733,1063,1,0,1,4,1287,0,0,1287,1,0,1,0,3,1,2,7,6,1,2,5,1997.0,0,2,576,4,4,2,364,17,0,0,182,0,3,4,1,0,7,2010,8,4,162000
349,370,9,3,0.0,8121,1,1,0,3,0,4,0,8,2,2,0,5,6,5,2000,2000,1,1,11,13,2,0.0,3,3,2,2,4,3,6,0,6,0,953,953,1,0,1,4,953,711,0,1664,0,0,2,1,3,1,3,7,6,1,5,1,2000.0,1,2,460,4,4,2,100,40,0,0,0,0,3,4,1,0,4,2006,8,4,172400
350,371,8,3,80.0,17120,1,1,3,3,0,4,0,4,1,2,0,0,4,4,1959,1959,1,1,13,10,2,0.0,3,3,1,3,2,3,4,0,4,0,0,0,1,4,1,4,1120,468,0,1588,0,0,2,0,4,1,3,7,3,1,2,5,1991.0,0,2,680,4,4,0,0,59,0,0,0,0,3,4,1,0,5,2008,8,4,134432
351,372,0,3,50.0,7175,1,1,3,3,0,4,0,20,2,2,4,2,6,5,1984,1984,1,1,8,10,2,0.0,3,3,1,2,4,3,0,623,3,121,0,744,1,4,1,4,752,0,0,752,1,0,1,0,2,1,3,4,6,0,3,1,1984.0,2,1,264,4,4,2,353,0,0,0,90,0,3,2,1,0,3,2010,8,4,125000
352,373,4,3,79.0,10634,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1953,1953,1,1,7,8,2,0.0,3,3,2,4,4,3,1,428,3,180,0,608,1,4,1,4,1319,0,0,1319,1,0,1,0,3,1,3,5,3,0,3,1,1953.0,2,1,270,4,4,2,66,0,0,0,0,0,3,1,1,0,9,2009,8,4,123000
353,374,9,3,65.0,8200,1,1,3,3,0,4,0,5,2,2,0,5,7,5,2003,2004,1,1,11,13,2,0.0,2,3,2,2,4,3,6,0,6,0,847,847,1,0,1,4,847,1081,0,1928,0,0,2,1,4,1,2,8,6,1,2,3,2003.0,0,2,434,4,4,2,100,48,0,0,0,0,3,4,1,0,5,2007,8,4,219500
354,376,13,3,57.0,8846,1,1,0,3,0,1,0,5,2,2,0,6,5,5,1996,1996,1,1,11,13,2,0.0,2,3,2,2,4,0,2,298,6,0,572,870,1,0,1,4,914,0,0,914,0,0,1,0,2,1,3,5,6,0,3,5,1998.0,2,2,576,4,4,2,0,0,0,0,0,0,3,4,1,0,5,2006,8,4,148000
355,377,9,1,102.0,11143,1,1,0,3,0,0,0,21,2,2,0,5,8,5,2004,2005,1,1,4,5,2,0.0,2,3,2,2,4,3,6,0,6,0,1580,1580,1,0,1,4,1580,886,0,2466,0,0,3,0,4,1,2,8,6,1,2,1,2004.0,1,2,610,4,4,2,159,214,0,0,0,0,3,4,1,0,2,2007,8,4,340000
356,378,4,3,88.0,11394,1,1,3,3,0,0,0,22,2,2,0,2,9,2,2010,2010,3,1,11,13,3,350.0,2,3,2,0,4,0,2,1445,6,0,411,1856,1,0,1,4,1856,0,0,1856,1,0,1,1,1,1,0,8,6,1,0,1,2010.0,0,3,834,4,4,2,113,0,0,0,0,0,3,4,1,0,6,2010,6,5,394432
357,379,9,3,60.0,8123,1,1,0,3,0,4,0,8,6,2,0,5,6,5,2000,2000,1,1,11,13,1,16.0,3,3,2,2,4,3,6,0,6,0,982,982,1,0,1,4,1007,793,0,1800,0,0,2,1,3,1,3,7,6,1,5,1,2000.0,0,2,463,4,4,2,100,63,0,0,0,0,3,4,1,0,6,2009,8,4,179000
358,380,8,3,50.0,5000,1,2,3,3,0,4,0,18,2,2,0,0,5,6,1924,1950,1,1,2,14,2,0.0,3,3,0,4,4,3,3,218,6,0,808,1026,1,4,1,4,1026,665,0,1691,0,0,2,0,3,1,2,6,6,1,2,5,1924.0,2,1,308,4,4,2,0,0,242,0,0,0,3,4,1,0,8,2010,8,4,127000
359,381,4,1,60.0,7200,1,2,3,3,0,4,0,21,2,2,0,2,7,5,2006,2006,1,1,11,13,2,0.0,2,3,2,2,1,3,6,0,6,0,1293,1293,1,0,1,4,1301,0,0,1301,1,0,2,0,2,1,2,5,6,1,2,1,2006.0,1,2,572,4,4,2,216,121,0,0,0,0,3,4,1,0,1,2006,6,5,187750
360,382,9,3,79.0,9245,1,1,0,3,0,4,0,5,2,2,0,5,7,5,2006,2006,1,1,11,13,2,0.0,2,3,2,2,4,0,6,0,6,0,939,939,1,0,1,4,939,858,0,1797,0,0,2,1,3,1,2,8,6,0,3,1,2006.0,1,2,639,4,4,2,144,53,0,0,0,0,3,4,1,0,0,2007,8,4,213500
361,383,7,2,60.0,9000,1,1,3,3,0,0,0,20,2,2,0,1,6,3,1928,1950,1,1,12,14,2,0.0,3,3,0,1,0,3,6,0,6,0,784,784,1,4,0,0,784,0,0,784,0,0,1,0,2,1,3,5,6,0,3,5,1950.0,2,2,360,1,1,0,0,0,91,0,0,0,3,4,1,0,10,2009,8,4,76000
362,384,9,3,0.0,53107,1,1,1,2,0,0,1,4,1,2,0,5,6,5,1992,1992,1,1,5,6,2,0.0,2,3,2,2,4,0,2,985,6,0,595,1580,1,0,1,4,1079,874,0,1953,1,0,2,1,3,1,2,9,6,2,1,1,1992.0,0,2,501,4,4,2,216,231,0,0,0,0,3,4,1,0,6,2007,8,4,240000
363,385,0,3,43.0,3182,1,1,3,3,0,4,0,0,2,2,4,2,8,5,2004,2005,1,1,11,13,1,16.0,2,3,2,2,4,3,2,24,6,0,1232,1256,1,0,1,4,1269,0,0,1269,0,0,2,0,2,1,2,6,6,1,5,1,2004.0,0,2,430,4,4,2,146,20,0,0,144,0,3,4,1,0,0,2010,8,4,192000
364,387,12,3,72.0,7200,1,1,3,3,0,4,0,7,2,2,0,7,6,6,1976,1976,3,1,7,8,1,255.0,3,3,1,4,4,0,0,631,6,0,410,1041,1,0,1,4,1125,0,0,1125,1,0,1,0,3,1,3,6,6,1,1,5,1977.0,2,1,352,4,4,2,296,0,0,0,0,0,3,1,1,0,10,2009,8,0,125000
365,388,4,3,93.0,9382,1,1,0,3,0,1,0,5,2,2,0,2,7,5,1999,2000,1,1,11,13,1,125.0,2,3,2,2,4,3,6,0,6,0,1468,1468,1,0,1,4,1479,0,0,1479,0,0,2,0,3,1,2,6,6,0,3,1,1999.0,1,2,577,4,4,2,120,25,0,0,0,0,3,4,1,0,5,2008,8,4,191000
366,389,9,3,96.0,12474,1,1,3,3,0,4,0,16,2,2,0,5,10,5,2007,2008,1,1,11,13,3,272.0,0,3,2,0,4,0,2,1280,6,0,402,1682,1,0,1,4,1742,590,0,2332,1,0,2,1,3,1,0,9,6,1,0,3,2008.0,0,3,846,4,4,2,196,134,0,0,0,0,3,4,1,0,1,2008,6,5,426000
367,390,8,3,50.0,8405,1,0,3,3,0,4,0,7,2,2,0,0,5,8,1900,1950,1,1,7,8,2,0.0,3,3,0,4,1,3,5,241,1,391,229,861,1,0,1,4,961,406,0,1367,1,0,1,0,4,1,3,7,6,0,3,5,1978.0,2,1,384,4,4,2,0,130,112,0,0,0,3,2,1,0,0,2008,8,4,119000
368,391,9,3,71.0,12209,1,1,0,3,0,1,0,11,2,2,0,5,6,5,2001,2002,1,1,11,13,2,0.0,3,3,2,0,4,3,0,690,6,0,114,804,1,0,1,4,804,1157,0,1961,1,0,2,1,3,1,2,7,6,1,5,3,2001.0,0,2,560,4,4,2,125,192,0,0,0,0,3,4,1,0,6,2009,8,4,215000
369,392,4,3,0.0,8339,1,1,0,3,0,4,0,12,2,2,0,2,5,7,1959,1959,1,1,7,8,2,0.0,3,3,3,3,2,3,4,0,4,0,0,0,1,4,1,4,882,0,0,882,0,0,1,0,3,1,3,5,6,0,3,1,1959.0,1,1,294,4,4,2,0,0,0,0,0,0,3,2,3,1200,5,2007,8,4,106500
370,394,8,3,60.0,10134,1,1,3,3,0,4,0,17,2,2,0,0,5,6,1940,1950,1,1,7,8,2,0.0,3,3,1,4,4,3,6,0,6,0,735,735,1,2,1,0,735,299,0,1034,0,0,1,0,2,1,3,5,6,0,3,5,1940.0,2,1,240,4,4,2,0,39,0,0,0,0,3,4,1,0,5,2007,8,4,109000
371,395,4,3,68.0,9571,1,1,3,3,0,4,0,7,2,2,0,2,5,6,1956,1956,1,1,12,14,2,0.0,3,3,1,4,4,0,1,739,6,0,405,1144,1,4,1,4,1144,0,0,1144,1,0,1,0,3,1,3,6,6,0,3,1,1956.0,2,1,596,4,4,2,44,0,0,0,0,0,3,4,1,0,6,2010,8,4,129000
372,396,4,3,60.0,7200,1,1,3,2,0,4,0,5,2,2,0,2,5,5,1972,1972,3,1,7,8,2,0.0,3,3,1,4,4,0,5,777,6,0,117,894,1,4,1,4,894,0,0,894,0,0,1,0,2,1,3,6,6,0,3,5,1985.0,1,2,600,4,4,2,215,0,0,0,0,0,3,4,1,0,11,2009,8,4,123000
373,397,9,3,69.0,7590,1,1,3,3,0,4,0,12,4,2,0,5,5,5,1962,1962,1,1,11,13,1,288.0,3,3,1,4,4,3,0,540,6,0,324,864,1,4,1,4,876,936,0,1812,0,0,2,0,4,1,3,8,6,1,5,1,1962.0,1,1,264,4,4,2,0,168,0,0,0,0,3,4,1,0,5,2007,8,4,169500
374,398,5,4,60.0,8967,1,1,3,3,0,0,0,9,2,2,0,2,5,2,1920,1950,1,1,7,8,2,0.0,3,1,0,1,3,3,6,0,6,0,961,961,1,2,1,3,1077,0,0,1077,0,0,1,0,2,1,3,6,1,0,3,5,1920.0,2,1,338,3,3,0,0,0,0,0,0,0,3,4,1,0,9,2007,8,0,67000
375,399,9,1,65.0,8125,1,1,3,3,0,4,0,21,2,2,0,5,7,5,2006,2007,1,1,4,5,3,100.0,2,3,2,2,4,3,2,812,6,0,280,1092,1,0,1,4,1112,438,0,1550,1,0,2,0,2,1,2,7,6,0,3,1,2007.0,0,2,438,4,4,2,0,168,0,0,0,0,3,4,1,0,10,2009,8,4,241000
376,400,0,3,38.0,14963,1,1,1,3,0,4,0,24,2,2,4,2,8,5,1996,1996,1,1,2,3,2,0.0,2,3,2,2,4,3,2,786,6,0,474,1260,1,0,1,4,1288,0,0,1288,1,0,1,1,1,1,0,4,6,2,2,1,1996.0,0,2,500,4,4,2,120,30,0,0,224,0,3,4,1,0,2,2008,8,4,245500
377,401,4,3,65.0,8767,1,1,0,3,0,4,0,5,2,2,0,2,7,5,2005,2005,1,1,11,13,2,0.0,2,3,2,2,4,0,2,24,6,0,1286,1310,1,0,1,4,1310,0,0,1310,0,0,2,0,3,1,2,6,6,1,2,1,2005.0,0,2,400,4,4,2,0,0,0,0,0,0,3,4,1,0,5,2006,6,5,164990
378,402,5,3,60.0,10200,1,1,3,3,0,4,0,19,2,2,0,2,5,8,1940,1997,1,1,12,14,2,0.0,3,3,2,4,4,3,6,0,6,0,672,672,1,0,1,4,672,0,0,672,0,0,1,0,2,1,3,4,6,0,3,5,1940.0,2,1,240,4,4,0,168,0,0,0,0,0,3,0,1,0,1,2008,8,4,108000
379,403,9,3,93.0,12090,1,1,3,3,0,0,0,15,2,2,0,5,8,5,1998,1998,3,1,11,13,1,650.0,2,3,2,2,4,3,6,0,6,0,1141,1141,1,2,1,4,1165,1098,0,2263,0,0,2,1,4,1,2,10,6,1,5,3,1998.0,0,2,420,4,4,2,144,123,0,0,0,0,3,4,1,0,5,2006,8,0,258000
380,404,9,3,0.0,10364,1,1,0,3,0,4,0,8,2,2,0,5,6,5,1995,1996,1,1,7,8,2,0.0,3,3,2,2,4,3,6,0,6,0,806,806,1,2,1,4,806,766,0,1572,0,0,2,1,3,1,3,7,6,1,5,3,1995.0,0,2,373,4,4,2,0,40,0,0,0,0,3,4,1,0,8,2007,8,4,168000
381,405,4,3,0.0,9991,1,1,0,3,0,0,0,19,1,2,0,2,4,4,1976,1993,1,1,8,10,2,0.0,3,3,1,4,4,3,1,1116,6,0,165,1281,1,0,1,4,1620,0,0,1620,1,0,2,0,3,1,3,8,2,1,5,1,1993.0,2,2,490,4,4,2,120,78,0,0,0,0,3,1,1,0,6,2009,8,4,150000
382,406,8,3,51.0,10480,1,1,3,3,0,4,0,18,2,2,0,0,6,5,1936,1950,1,1,7,8,2,0.0,3,3,0,4,4,3,6,0,6,0,1064,1064,1,0,1,0,1166,0,473,1639,0,0,1,0,3,1,3,6,1,0,3,5,1936.0,2,1,240,4,4,2,0,0,0,0,0,0,3,4,1,0,7,2008,8,4,115000
383,407,10,3,63.0,15576,1,1,3,3,0,4,0,6,2,2,0,5,6,7,1915,1976,1,1,12,10,2,0.0,3,3,0,2,4,3,6,0,6,0,840,840,1,0,1,4,840,840,0,1680,0,0,2,0,4,1,3,8,6,0,3,1,1960.0,2,1,308,4,4,2,0,0,160,0,0,0,3,4,1,0,7,2008,8,4,177000
384,408,9,3,109.0,14154,1,1,3,3,0,0,0,16,2,2,0,5,7,5,2006,2006,1,1,11,13,1,350.0,2,3,2,0,1,3,6,0,6,0,1063,1063,1,0,1,4,1071,1101,0,2172,0,0,2,1,3,1,2,9,6,1,2,1,2006.0,1,3,947,4,4,2,192,62,0,0,0,0,3,4,1,0,1,2007,6,5,280000
385,409,9,1,85.0,10800,1,1,3,3,0,4,0,21,2,2,0,5,8,5,2007,2008,1,1,11,13,3,100.0,2,3,2,0,4,3,2,789,6,0,245,1034,1,0,1,4,1050,1028,0,2078,1,0,2,1,3,1,0,8,6,1,2,1,2008.0,0,3,836,4,4,2,0,102,0,0,0,0,3,4,1,0,0,2008,6,5,339750
386,410,4,3,68.0,9571,1,1,3,3,0,4,0,7,2,2,0,2,5,3,1958,1958,1,1,1,2,2,0.0,3,1,1,4,0,3,6,0,6,0,1276,1276,1,4,1,0,1276,0,0,1276,0,0,1,0,3,1,3,5,4,0,3,1,1958.0,2,1,350,4,4,2,0,0,0,0,0,0,3,4,1,0,6,2009,0,0,60000
387,411,3,3,100.0,34650,1,1,3,0,0,4,0,8,2,2,1,2,5,5,1955,1955,3,1,12,14,2,0.0,3,3,1,4,4,2,5,1056,6,0,0,1056,1,4,0,4,1056,0,0,1056,1,0,1,0,3,1,3,5,6,0,3,1,1955.0,0,2,572,4,4,2,264,0,0,0,0,0,3,4,1,0,4,2006,8,4,145000
388,412,4,1,0.0,4403,1,1,1,3,0,4,0,21,2,2,0,2,7,5,2009,2009,1,1,7,8,3,432.0,0,3,2,0,4,0,2,578,6,0,892,1470,1,0,1,4,1478,0,0,1478,1,0,2,1,2,1,2,7,6,1,2,1,2009.0,0,2,484,4,4,2,0,144,0,0,0,0,3,4,1,0,6,2010,6,5,222000
389,413,5,4,56.0,8960,1,0,3,3,0,4,0,17,0,2,0,2,5,6,1927,1950,1,1,13,15,2,0.0,3,3,1,4,4,3,6,0,6,0,1008,1008,1,2,1,0,1028,0,0,1028,0,0,1,0,2,1,3,5,6,1,2,5,1927.0,2,2,360,4,4,2,0,0,130,0,0,0,3,4,1,0,7,2010,8,4,115000
390,414,9,3,59.0,11228,1,1,1,3,0,1,0,20,2,2,0,5,7,5,1993,1993,1,1,11,13,2,0.0,2,3,2,2,4,3,1,50,2,531,499,1080,1,0,1,4,1080,1017,0,2097,0,1,2,1,3,1,2,9,6,1,5,1,1993.0,2,3,678,4,4,2,196,187,0,0,0,0,3,4,1,0,2,2008,8,4,228000
391,415,4,3,73.0,8899,1,1,0,3,0,4,0,8,2,2,0,2,7,5,2007,2007,1,1,11,13,2,0.0,2,3,2,2,4,0,2,24,6,0,1316,1340,1,0,1,4,1340,0,0,1340,0,0,2,0,3,1,2,6,6,0,3,1,2007.0,0,2,396,4,4,2,100,30,0,0,0,0,3,4,1,0,1,2007,6,5,181134
392,416,9,3,74.0,7844,1,1,3,3,0,4,0,19,2,2,0,5,6,7,1978,1978,3,1,5,6,1,203.0,3,3,1,4,4,3,0,209,6,0,463,672,1,4,1,4,672,728,0,1400,0,0,1,1,3,1,3,6,6,1,5,1,1978.0,0,2,440,4,4,2,0,0,0,0,0,0,3,4,1,0,7,2006,8,4,149500
393,417,10,3,86.0,22420,1,1,0,3,0,4,0,6,1,2,0,5,6,6,1918,1950,3,1,12,12,2,0.0,3,3,0,2,4,3,1,1128,6,0,242,1370,2,4,0,0,1370,1254,0,2624,1,0,2,1,4,1,3,10,6,1,2,5,1918.0,2,3,864,4,4,0,0,0,0,0,0,0,3,4,1,0,9,2007,8,4,239000
394,418,8,3,60.0,8160,1,1,3,3,0,4,0,7,2,2,0,0,5,6,1940,1950,1,1,7,8,2,0.0,3,3,0,4,4,3,0,312,6,0,444,756,1,1,0,1,756,378,0,1134,1,0,1,1,3,1,3,7,6,0,3,5,1940.0,2,1,240,4,4,1,0,0,0,0,0,0,3,4,1,0,0,2007,8,1,126000
395,419,4,3,65.0,8450,1,1,3,3,0,4,0,12,2,2,0,2,5,6,1968,1968,1,1,11,13,2,0.0,3,3,1,4,4,3,1,775,6,0,281,1056,1,0,1,4,1056,0,0,1056,1,0,1,0,3,1,3,6,6,1,1,1,1968.0,2,1,304,4,4,2,0,85,184,0,0,0,3,4,1,0,5,2010,8,4,142000
396,420,14,4,78.0,7060,1,1,3,3,0,4,0,11,2,2,2,6,7,5,1997,1998,1,1,11,13,1,200.0,3,2,2,2,1,1,2,1309,6,0,35,1344,1,0,1,4,1344,0,0,1344,2,0,2,0,2,2,3,8,6,0,3,1,1997.0,0,4,784,4,4,2,0,0,0,0,0,0,3,4,1,0,9,2008,8,2,206300
397,421,4,3,0.0,16635,1,1,0,3,0,2,0,14,2,2,0,2,6,7,1977,2000,1,1,4,5,3,126.0,2,3,1,2,4,3,0,1246,6,0,356,1602,1,2,1,4,1602,0,0,1602,0,1,2,0,3,1,2,8,6,1,5,1,1977.0,0,2,529,4,4,2,240,0,0,0,0,0,3,4,1,0,6,2009,8,4,215000
